 at.netzooe.sonnenmonitor/scripts\MeasurementUtils.js,before(),1
 at.netzooe.sonnenmonitor/scripts\MeasurementView.js,html(),1
 at.netzooe.sonnenmonitor/scripts\MeasurementView.js,append(),11
 at.netzooe.sonnenmonitor/scripts\MeterCollection.js,prepend(),3
 at.netzooe.sonnenmonitor/scripts\MeterGroupSelectorView.js,html(),3
 at.netzooe.sonnenmonitor/scripts\MeterSelectorView.js,html(),7
 at.netzooe.sonnenmonitor/scripts\modal.js,append(),3
 at.netzooe.sonnenmonitor/scripts\modernizr.custom.js,innerHTML,1
 at.netzooe.sonnenmonitor/scripts\modernizr.custom.js,html(),2
 at.netzooe.sonnenmonitor/scripts\modernizr.custom.js,append(),4
 at.netzooe.sonnenmonitor/scripts\modernizr.custom.js,after(),1
 at.netzooe.sonnenmonitor/scripts\moment-timezone-with-data.js,before(),1
 at.netzooe.sonnenmonitor/scripts\moment-timezone-with-data.js,after(),1
 at.netzooe.sonnenmonitor/scripts\moment-with-langs.js,html(),1
 at.netzooe.sonnenmonitor/scripts\moment-with-langs.js,before(),6
 at.netzooe.sonnenmonitor/scripts\moment-with-langs.js,after(),5
 at.netzooe.sonnenmonitor/scripts\movePreviousComparisonChartWorker.js,before(),1
 at.netzooe.sonnenmonitor/scripts\numbers.js,append(),2
 at.netzooe.sonnenmonitor/scripts\numbers.js,prepend(),1
 at.netzooe.sonnenmonitor/scripts\numbers.js,before(),7
 at.netzooe.sonnenmonitor/scripts\numbers.js,after(),8
 at.netzooe.sonnenmonitor/scripts\numeral.js,before(),6
 at.netzooe.sonnenmonitor/scripts\numeral.js,after(),1
 at.netzooe.sonnenmonitor/scripts\OptionSelectorView.js,html(),10
 at.netzooe.sonnenmonitor/scripts\OptionSelectorView.js,before(),1
 at.netzooe.sonnenmonitor/scripts\popover.js,html(),6
 at.netzooe.sonnenmonitor/scripts\popover.js,append(),2
 at.netzooe.sonnenmonitor/scripts\PurchaseMeterSelectorView.js,html(),4
 at.netzooe.sonnenmonitor/scripts\raphael.amd.js,html(),1
 at.netzooe.sonnenmonitor/scripts\raphael.core.js,innerHTML,1
 at.netzooe.sonnenmonitor/scripts\raphael.core.js,html(),14
 at.netzooe.sonnenmonitor/scripts\raphael.core.js,append(),5
 at.netzooe.sonnenmonitor/scripts\raphael.core.js,before(),7
 at.netzooe.sonnenmonitor/scripts\raphael.core.js,after(),8
 at.netzooe.sonnenmonitor/scripts\raphael.svg.js,html(),4
 at.netzooe.sonnenmonitor/scripts\raphael.svg.js,append(),29
 at.netzooe.sonnenmonitor/scripts\raphael.svg.js,prepend(),1
